문서 번호,제목,질문,위치 고유번호,조회수,질문 날짜
476002540,질문에버라이즈 기간,에버랜드+라이즈 콜라보 기간 언제까지인가요? 공식엔 10/3 부터 언제까지인지 몰겠네요 알려주삼요,120923, 113,2024.09.30
476000553,질문용인 기흥고등학교에 매점 있나요?,기흥고에 매점이나 자판기 있나 궁금해요,120923, 27,2024.09.29
475965297,질문용인기흥호수공원에  코스모스가 있나요?,기흥호수공원에 코스모스가 있나요?,120923, 19,2024.09.29
475958144,질문강남대학교 주변에 한식집,그 한식집인데 카페 분위기 나고 테이블 동그라미에 건물안은 하양색같고 테이블에 그 테블릿으로 주문도 할수있어요 제발요 가봤는데 이름을 까먹었어요 강남대 주변일거에요,120923, 26,2024.09.29
475948908,질문용인한숲시티에서 처인구로 가는 4101번 버스 시간표,내일 남사도서관 가는데 제가 4101번 버스를 처음타봐서 방향은아는데 시간을 모르겠어요ㅠ주말 시간표 아시는분 있을까요?,120923, 176,2024.09.28
475892274,질문용인 신점 용한곳좀,요즘 다치는 일도 많고 회사일도 잘 안풀리고.... 답답해서 신점을 좀 보려는데 용인 신점 잘 보는곳 어디 없나요??,120923, 115,2024.09.27
475816446,질문동해 갑오징어 쭈꾸미,동해 울진 포항 영덕에 갑오징어 쭈꾸미 체험낚시있나요?? 동해 쪽에는 쭈꾸미 오징어 안나오나요??,120923, 21,2024.09.25
475808076,질문수지구청 킥고잉 킥보드,한대도 없나요;;;,120923, 40,2024.09.25
475779210,질문용인 처인구에서 서초역까지 가는 제일 편한 방법,용인 처인구 남사에 거주중인데 서초역인근으로 발령이 날 것 같습니다. 자차이용은 무리일 듯 싶고 자취를한다해도 용인내에서 하고 싶습니다. 굳이 남사가 아니라 용인의 다른 지역이나 장소에서 서초역으로 가는 최소시간 최소환승의 경로가 있을까요??,120923, 42,2024.09.24
475771697,질문용인 성복고 질문,성복고 진학하려는데 궁금한게 있어서요 1.매점이나 자판기가 있나요? 2.폰압수하나요? 3.패드 압수하나요? 4.슬리퍼 등교 되나요 5.사복 규정 심한가요?,120923, 139,2024.09.24
475710810,질문경기도 용인시 수지구 성민 유치원 분위기 어떤가요?,경기도 용인시 수지구 성민 유치원 프로그램이나 유치원 시설이 좋아 보여서 저희 아이를 보내고 싶은데요 여기 유치원 다니는 아이가 주변에 없어서 궁금하네요. 유치원 분위기 어떤지 알려주실 분 있을까요!,120923, 254,2024.09.23
475649684,질문용인 홀덤펍,지식인분들 분위기 좋은 용인 홀덤펍 아시나요? 서울 갈려다가 시간이 안 맞아서 용인에 있는데 분위기 좋은 곳을 못 찾겠습니다 발품을 2번 팔아도 모르겠어요..,120923, 17,2024.09.21
475547073,질문에버랜드 수학여행,초6이고요 다음주 목금에 수학여행 갑니다! 에버랜드 근처에 있는 골든튤립호텔에서 잔다고 해서 질문 몇가지 해 보겠습니다!!! 1. 밤에 라면 끓여먹기로 했는데 커피포트 있나요? 2. 방에 생수 몇병 있나요? 3. 방음 잘 되죠??(밤에 공포영화 본다는데 소리를 많이 지르는 친구들이라) 4. 13층에 몇인실 있나요?(저희가 3명이서 1방 쓰는데 다른 친구 말론 4인실에 3명인 쓴다고 하더라구요) 5. 수학여행을 가보신분은 밤에 선생님들이 감시하러 돌아다니셨나요?(친구들이 밤에 옥상 올라가서 놀자고 하더라구요 안될것 같긴 하다만...) 6. 3인실이나 4인실 쓰면 방이 넓나요? 7. 콘센트 몇칸 있나요? 8. 샤워 용품 있나요(드라이기 샴푸 바디워시 등) 이상입니다! 최대한 빨리 답변 주세여^^ 이외에도 수학여행 꿀팁이 있다면 알려주세요!! 그리고 이동하는 차에서 뭐하고 놀까요? 진주시에서 용인까지 가는거라 4시간 정도 걸린다고 하네요;;,120923, 51,2024.09.21
478099651,질문의왕시 고려병원 행적아시는분 있을까요?,의왕시 오전동에 고려병원이라고 꽤큰병원이었는데 한10~20년전에 없어졌더리구요 혹시 다른곳으로 옮겼다거나 상호를 바꿨다거나 행적아시는분 있을까요?,120924, 9,2024.11.19
477989645,질문의왕에 낙원의집 이란곳이 있나요?,머하는 곳인지두 궁금합니다,120924, 24,2024.11.18
